player_id,name,position,age,injury_history_count,date,sleep_hours,sleep_quality,soreness,stress,mood,practice_minutes,practice_rpe,total_daily_load,game_minutes,player_load,accel_count,decel_count,total_distance_km,hsr_distance_m,sprint_distance_m,acwr,cmj_height_cm,rsi_modified,is_back_to_back,days_rest,travel_flag,time_zone_diff,unrivaled_flag,injured_within_7days,sleep_hours_7day_avg,sleep_hours_7day_std,soreness_7day_avg,soreness_7day_std,practice_minutes_7day_avg,practice_minutes_7day_std,cmj_height_cm_7day_avg,cmj_height_cm_7day_std,rsi_modified_7day_avg,rsi_modified_7day_std,player_load_7day_avg,player_load_7day_std,accel_count_7day_avg,accel_count_7day_std,decel_count_7day_avg,decel_count_7day_std,sleep_hours_zscore,soreness_zscore,stress_zscore,mood_zscore,cmj_height_cm_zscore,rsi_modified_zscore,player_load_zscore,accel_count_zscore,decel_count_zscore,flag_sleep_floor,flag_soreness_ceil,flag_stress_ceil,flag_acwr_spike,flag_load_drop,flag_accel_drop,flag_decel_drop,wellness_score,readiness_score,injury_risk_score,team_avg_pts,team_avg_min,game_result,game_margin,home_away
P001,Player G1,G,23,3,12/6/2025,8.4,6,2,3,8,7.7,7,50.1,23.5,502,56,42,9.46,765.7,173.7,1,30,0.35,0,3,0,0,0,0,8.4,0,2,0,7.7,0,30,0,0.35,0,502,0,56,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6,83.7,0.016541531,,,,,
P001,Player G1,G,23,3,12/7/2025,7.5,8,1,2,8,68.5,6,68.5,0,294.5,37,34,6.53,548.6,187.3,1,30,0.35,0,3,0,0,0,0,7.95,0.636396103,1.5,0.707106781,38.1,42.9920923,30,0,0.35,0,398.25,146.7246571,46.5,13.43502884,38,5.656854249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.25,85.7,0.027367154,,,,,
P001,Player G1,G,23,3,12/8/2025,8.1,4,1,1,7,55.9,6,55.9,0,337.4,45,39,6.55,632.3,176.3,1,38.3,0.409,0,3,0,0,0,0,8,0.458257569,1.333333333,0.577350269,44.03333333,32.09008154,32.76666667,4.792007234,0.369666667,0.034063666,377.9666667,109.536767,46,9.539392014,38.33333333,4.041451884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.15,90.3,0.013272899,,,,,
P001,Player G1,G,23,3,12/9/2025,7.1,9,3,2,8,15.4,7,63,25.7,414.6,57,57,9.76,828,249.2,1,38.3,0.35,0,3,0,0,0,0,7.775,0.585234996,1.75,0.957427108,36.875,29.8577042,34.15,4.792007234,0.36475,0.0295,387.125,91.29276623,48.75,9.53502316,43,9.899494937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.65,87.4,0.026526235,,,,,
P001,Player G1,G,23,3,12/10/2025,7.6,10,2,2,8,54.2,8,72.3,0,358,26,39,8.19,613.9,108,1,38.3,0.35,0,3,0,0,0,0,7.74,0.512835256,1.8,0.836660027,40.34,26.99338808,34.98,4.546097227,0.3618,0.026385602,381.3,80.12758576,44.2,13.10343466,42.2,8.757853618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4,90.4,0.022254651,,,,,
P001,Player G1,G,23,3,12/11/2025,7.3,7,3,3,7,63.2,8,84.2,0,276.6,52,32,7.11,607.6,224.3,1,38.3,0.35,0,3,0,0,0,0,7.666666667,0.492612085,2,0.894427191,44.15,25.88457069,35.53333333,4.28610157,0.359833333,0.024086649,363.85,83.4467435,45.5,12.1449578,40.5,8.871302046,-0.857975334,1.434274331,1.414213562,-1.6,0.730296743,-0.447213595,-1.3066661,0.595263776,-1.16466893,0,0,0,0,1,0,1,31.95,77.7,0.117944548,,,,,
P001,Player G1,G,23,3,12/12/2025,8.4,9,1,2,8,15.5,8,74.4,26.8,387.2,48,52,7.63,962.1,233.3,1,38.3,0.35,0,3,0,0,0,0,7.771428571,0.52824958,1.857142857,0.899735411,40.05714286,25.99236152,35.92857143,4.049985303,0.358428571,0.022299904,367.1857143,76.68564465,45.85714286,11.12697281,42.14285714,9.191092997,1.488662895,-1.118033989,-0.221403721,0.645497224,0.645497224,-0.40824829,0.279819188,0.205846742,1.296314784,0,0,0,0,0,0,0,37.6,92.5,0.049027218,,,,,
P001,Player G1,G,23,3,12/13/2025,7.31,7,2,1,8,98.7,7,115.08,0,265.844,27,28,7.17,726.6,121.1,1,38.3,0.35,0,3,0,0,0,1,7.615714286,0.469462712,1.857142857,0.899735411,53.05714286,29.61592236,37.11428571,3.137105126,0.358428571,0.022299904,333.4491429,56.88040997,41.71428571,12.07910435,40.14285714,10.63686313,-0.873504852,0.158776837,-1.656157342,0.571428571,0.585540044,-0.377964473,-1.321521319,-1.69472355,-1.538756832,0,0,0,0,1,1,1,35.965,84.2,0.722071127,,,,,
P001,Player G1,G,23,3,12/14/2025,7.225,8,4,2,7,78.4,7,91.56,0,311.108,33,25,7.48,716.1,224.2,1,38.3,0.35,0,3,0,0,0,1,7.576428571,0.491737687,2.285714286,1.112697281,54.47142857,30.69308903,38.3,0,0.358428571,0.022299904,335.8217143,55.309694,41.14285714,12.4288451,38.85714286,11.96423241,-0.948005247,2.54636493,0,-1.5,0.540061725,-0.353553391,-0.545860381,-0.855693068,-1.557800219,0,0,0,0,0,0,1,31.8375,77.6,0.680185592,,,,,
P001,Player G1,G,23,3,12/15/2025,7.31,8,4,1,9,33.18,5,84.28,32.4,318.98,39,36,8.51,741.4,289.7,1,40.6,0.375,0,3,0,0,0,1,7.463571429,0.43941926,2.714285714,1.112697281,51.22571429,31.70156613,38.62857143,0.869318288,0.353571429,0.009449112,333.1902857,55.65916358,40.28571429,12.32496499,38.42857143,12.01189886,-0.686485914,1.791957341,-1.414213562,2.666666667,1.132375489,0.937853107,-0.405292968,-0.277777778,-0.252540653,0,0,0,0,0,0,0,34.965,85,0.716937067,,,,,
