date,opponent,home_or_away,result,min,fgm,fga,fg3m,fg3a,ftm,fta,reb,ast,stl,blk,tov,pts
2025-11-03,Southern,home,W 109-77,16,2,4,0,2,2,2,3,1,0,1,1,6
2025-11-08,Michigan State,away,L 69-66,29,3,8,1,4,1,2,6,0,0,1,2,8
2025-11-11,Central Arkansas,home,W 93-56,21,1,2,1,1,1,2,4,0,0,0,1,4
2025-11-14,Samford,home,W 79-75,27,4,7,1,3,1,2,5,0,1,1,1,10
2025-11-18,Winthrop,home,W 84-83,20,2,3,0,1,2,2,1,1,0,0,0,6
2025-11-21,Jackson State,home,W 115-61,24,6,9,0,1,2,4,5,2,2,0,0,14
2025-11-27,Duke,home,L 80-71,24,4,6,1,2,2,2,5,2,1,2,5,11
2025-12-03,Louisville,home,W 89-80,27,2,4,0,1,6,6,4,2,0,1,2,10
2025-12-06,Fresno State,home,W 82-58,12,3,5,0,1,0,0,1,4,0,0,1,6
2025-12-13,Texas Tech,home,W 93-86,18,1,5,0,0,4,4,3,4,2,0,0,6
2025-12-16,Queens University,home,W 108-80,25,6,10,1,2,2,3,5,0,0,0,2,15
2025-12-20,Houston,home,L 94-85,24,5,6,2,2,0,1,2,1,2,0,0,12
2025-12-29,James Madison,home,W 103-74,21,4,6,0,2,0,0,4,6,1,0,2,8
2026-01-03,Tennessee,home,W 86-75,15,2,5,0,1,1,2,0,0,0,0,0,5
2026-01-07,Ole Miss,away,W 94-87,24,5,5,1,1,2,2,6,1,0,0,0,13
2026-01-10,Auburn,away,L 95-73,26,1,4,0,1,1,1,1,0,2,0,1,3
2026-01-14,South Carolina,home,W 108-74,26,1,4,0,2,1,1,5,4,3,2,1,3
2026-01-17,Georgia,away,L 90-76,26,6,11,0,1,0,0,8,1,1,3,4,12
2026-01-20,Vanderbilt,home,W 93-68,13,1,4,0,1,0,0,2,3,0,1,0,2
2026-01-24,LSU,home,W 85-81,28,4,7,0,1,3,4,2,3,0,0,1,11
2026-01-27,Oklahoma,away,W 83-79,18,4,7,0,2,1,2,3,0,2,0,0,9
2026-01-31,Kentucky,home,L 85-77,28,6,8,0,1,2,3,5,1,1,0,0,14
2026-02-07,Mississippi State,away,W 88-68,25,7,11,0,2,0,0,4,3,0,1,1,14
2026-02-10,LSU,away,W 91-62,36,5,9,0,0,3,4,5,1,0,2,1,13
2026-02-14,Auburn,home,W 88-75,38,12,15,0,1,1,1,3,4,3,2,1,25
2026-02-18,Alabama,away,L 117-115 2OT,34,10,19,0,0,0,0,6,2,0,0,0,20
2026-02-21,Missouri,home,W 94-86,35,9,14,2,3,1,2,1,4,3,2,3,21
2026-02-25,Texas A&M,home,W 99-84,34,8,13,1,2,6,6,2,3,2,1,2,23
2026-02-28,Florida,away,L 111-77,39,9,17,0,2,4,4,6,3,2,1,2,22
2026-03-04,Texas,home,W 105-85,37,3,9,0,1,2,2,9,3,3,3,1,8
2026-03-07,Missouri,away,W 88-84 OT,39,4,7,0,1,2,2,6,4,2,1,2,10
2026-03-13,Oklahoma,home,W 82-79,35,4,11,0,2,1,2,5,1,1,2,0,9
2026-03-14,Ole Miss,home,W 93-90 OT,41,1,7,0,2,2,2,5,1,2,0,1,4
2026-03-15,Vanderbilt,home,W 86-75,39,8,13,2,4,0,0,5,3,0,1,2,18
2026-03-19,Hawaii,home,W 97-78,31,5,8,0,2,0,0,7,3,1,0,2,10
2026-03-21,High Point,home,W 94-88,38,6,9,1,1,2,4,10,0,3,1,1,15
2026-03-26,Arizona,home,L 109-88,29,6,10,1,2,0,0,5,3,1,0,2,13
